1001,3907,Boston College,South Street,B,42.3401,-71.1671
1222,3787,South Street,Chestnut Hill Avenue,B,42.339593143964585,-71.15768015384674
1320,4850,Cleveland Circle,Englewood Avenue,C,42.3362,-71.149
1352,3656,Chestnut Hill Avenue,Chiswick Road,B,42.3383,-71.15289999999999
1483,3526,Chiswick Road,Sutherland Road,B,42.3406,-71.15109999999999
1542,4729,Englewood Avenue,Dean Road,C,42.3369,-71.14570000000003
1613,3396,Sutherland Road,Washington Street,B,42.3415,-71.1463
1680,4591,Dean Road,Tappan Street,C,42.3377,-71.142
1686,5777,Riverside,Woodland,D,42.3375,-71.2525
1743,3265,Washington Street,Warren Street,B,42.3441,-71.14260000000002
1818,4453,Tappan Street,Washington Square,C,42.3385,-71.13850000000002
1874,3134,Warren Street,Allston Street,B,42.3484,-71.1404
1907,5659,Woodland,Waban,D,42.33272154699834,-71.24319937079844
1956,4315,Washington Square,Fairbanks Street,C,42.3395,-71.13490000000002
2004,3004,Allston Street,Griggs Street,B,42.3487,-71.13800000000003
2046,5521,Waban,Eliot,D,42.3258,-71.23059999999998
2094,4177,Fairbanks Street,Brandon Hall,C,42.3396,-71.13120000000004
2138,2873,Griggs Street,Harvard Avenue,B,42.3487,-71.13470000000001
2184,5383,Eliot,Newton Highlands,D,42.319,-71.21659999999997
2232,4039,Brandon Hall,Summit Avenue,C,42.34,-71.12889999999999
2323,5245,Newton Highlands,Newton Centre,D,42.3223,-71.2056
2371,2799,Harvard Avenue,Packards Corner,B,42.3502,-71.13150000000002
2372,3901,Summit Avenue,Coolidge Corner,C,42.341,-71.12580000000003
2465,5103,Newton Centre,Chestnut Hill,D,42.3294,-71.1925
2511,3764,Coolidge Corner,St. Paul Street (C),C,42.3421,-71.12130000000002
2603,2873,Packards Corner,Babcock Street,B,42.3517,-71.12540000000001
2604,4965,Chestnut Hill,Reservoir,D,42.32676046508905,-71.16432666778564
2625,3646,St. Paul Street (C),Kent Street,C,42.34335996599378,-71.11698031425476
2739,3009,Babcock Street,Pleasant Street,B,42.3518,-71.12189999999998
2743,4827,Reservoir,Beaconsfield,D,42.3351,-71.1483
2855,3515,Kent Street,Hawes Street,C,42.3439,-71.11439999999999
2877,3147,Pleasant Street,St. Paul Street (B),B,42.3515,-71.1191
2880,4690,Beaconsfield,Brookline Hills,D,42.3358,-71.1406
2999,3268,St. Paul Street (B),Boston University West,B,42.35112287257841,-71.11604690551758
3018,4552,Brookline Hills,Brookline Village,D,42.3313,-71.12649999999996
3085,3646,Hawes Street,St. Mary's Street,C,42.3447,-71.11149999999998
3137,3407,Boston University West,Boston University Central,B,42.3508,-71.11340000000001
3159,4413,Brookline Village,Longwood,D,42.3325,-71.11700000000002
3203,3765,St. Mary's Street,Kenmore,C,42.34590541688826,-71.10778570175171
3235,5697,Heath Street,Back of the Hill,E,42.3285,-71.11040000000003
3258,3526,Boston University Central,Boston University East,B,42.3501,-71.10720000000003
3297,4274,Longwood,Fenway,D,42.3417,-71.11000000000001
3343,5549,Back of the Hill,Riverway,E,42.3307,-71.11160000000001
3396,3664,Boston University East,Blandford Street,B,42.3497,-71.1044
3438,4134,Fenway,Kenmore,D,42.3453,-71.10429999999997
3465,5428,Riverway,Mission Park,E,42.33155121514751,-71.11176073551178
3516,3786,Blandford Street,Kenmore,B,42.3492,-71.1001
3580,5313,Mission Park,Fenwood Road,E,42.3331,-71.1096
3698,5195,Fenwood Road,Brigham Circle,E,42.3336,-71.10590000000002
3759,3930,Kenmore,Hynes Convention Center,B;C;D,42.3489,-71.09569999999997
3821,5072,Brigham Circle,Longwood Medical Area,E,42.3343,-71.1044
3936,4957,Longwood Medical Area,Museum of Fine Arts,E,42.3361,-71.09960000000001
4054,4839,Museum of Fine Arts,Northeastern University,E,42.3379,-71.0951
4140,3904,Hynes Convention Center,Copley,B;C;D,42.3479,-71.0874
4172,4722,Northeastern University,Symphony,E,42.34,-71.0897
4268,4593,Symphony,Prudential,E,42.3426,-71.0849
4282,4314,Prudential,Copley,E,42.3455,-71.08140000000003
4525,3904,Copley,Arlington,B;C;D;E,42.35,-71.07740000000001
4907,3904,Arlington,Copley,B;C;D;E,42.3517,-71.07100000000003
